college_code,college_name,branch_code,branch_name,status,home_university,seat_section,stage,category_code_raw,gender,category,disability,defense_quota,closing_rank,closing_percentile
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOPENS,Not Specified,OPEN,No,No,31618,90.6688280
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,I,GSCS,Not Specified,SC,No,No,53254,84.0359888
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,I,GNT1S,Not Specified,NT-A,No,No,49466,85.1919561
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,I,GSEBCS,Not Specified,SEBC,No,No,73539,77.1618860
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,I,LSCS,Female,SC,No,No,41066,87.9159305
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,I,LSEBCS,Female,SEBC,No,No,91727,70.6189283
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOPENS,Not Specified,OPEN,No,No,10017,97.1220006
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOBCS,Not Specified,OBC,No,No,11290,96.7783105
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,Autonomous Institute,State Level,I,GOPENS,Not Specified,OPEN,No,No,13634,96.0780932
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,Autonomous Institute,State Level,I,GVJS,Not Specified,VJ,No,No,26351,92.3341523
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,Autonomous Institute,State Level,I,GNT2S,Not Specified,NT-B,No,No,23636,93.1055879
